rs17184416	rs17178028	rs2267635	class
11	44	55	1
22	44	55	2
11	44	55	3
11	33	55	4
22	33	55	5
22	33	55	6
22	44	55	7
22	44	56	8
22	44	56	9
22	44	55	10
11	44	55	11
11	44	55	12
11	44	55	13
11	44	55	14
11	33	55	15
11	33	55	16
11	33	55	17
11	33	66	18
11	33	66	19
11	33	56	20
22	33	55	21
22	33	55	22
22	33	55	23
22	33	55	24
22	44	55	25
11	44	55	26
11	44	66	27
11	44	66	28
11	44	66	29
11	44	66	30
11	44	66	31
11	44	55	32
22	44	55	33
22	44	55	34
22	44	55	35
22	44	56	36
22	44	56	37
22	34	56	38
11	34	56	39
11	34	56	40
11	34	56	41
12	34	56	42
12	34	56	43
11	34	66	44
11	34	66	45
12	34	66	46
11	34	66	47
11	34	66	48
11	34	66	49
22	34	66	50
22	34	66	51
22	34	66	52
11	44	66	53
11	44	66	54
11	44	66	55
11	44	66	56
12	44	66	57
12	44	66	58
12	44	66	59
12	44	66	60
11	44	66	61
11	44	66	62
11	44	66	63
11	33	66	64
12	33	66	65
11	33	55	66
11	33	56	67
12	33	56	68
12	33	55	69
12	33	55	70
12	33	56	71
12	33	56	72
12	44	56	73
12	44	56	74
12	44	56	75
12	44	56	76
12	44	56	77
12	44	56	78
11	44	56	79
11	44	56	80
12	44	66	81
11	44	66	82
11	44	66	83
12	44	66	84
12	44	66	85
12	44	66	86
12	44	55	87
12	44	55	88
12	34	55	89
12	34	56	90
11	34	56	91
11	34	55	92
11	34	55	93
11	34	55	94
11	34	66	95
11	34	56	96
22	34	66	97
22	44	56	98
22	44	56	99
22	44	66	100
