SNP	EU
SNP1	0.85
SNP2	0.85
SNP3	0.85
SNP4	0.85
SNP5	0.85
SNP6	0.85
SNP7	0.85
SNP8	0.85
SNP9	0.85
SNP10	0.85
SNP11	0.85
SNP12	0.85
SNP13	0.85
SNP14	0.85
SNP15	0.85
SNP16	0.85
SNP17	0.85
SNP18	0.85
SNP19	0.85
SNP20	0.85
SNP21	0.85
SNP22	0.85
SNP23	0.85
SNP24	0.85
SNP25	0.85
SNP26	0.85
SNP27	0.85
SNP28	0.85
SNP29	0.85
SNP30	0.85
SNP31	0.85
SNP32	0.85
SNP33	0.85
SNP34	0.85
SNP35	0.85
SNP36	0.85
SNP37	0.85
SNP38	0.85
SNP39	0.85
SNP40	0.85
SNP41	0.85
SNP42	0.85
SNP43	0.85
SNP44	0.85
SNP45	0.85
SNP46	0.85
SNP47	0.85
SNP48	0.85
SNP49	0.85
SNP50	0.85
SNP51	0.85
SNP52	0.85
SNP53	0.85
SNP54	0.85
SNP55	0.85
SNP56	0.85
SNP57	0.85
SNP58	0.85
SNP59	0.85
SNP60	0.85
SNP61	0.85
SNP62	0.85
SNP63	0.85
SNP64	0.85
SNP65	0.85
SNP66	0.85
SNP67	0.85
SNP68	0.85
SNP69	0.85
SNP70	0.85
SNP71	0.85
SNP72	0.85
SNP73	0.85
SNP74	0.85
SNP75	0.85
SNP76	0.85
SNP77	0.85
SNP78	0.85
SNP79	0.85
SNP80	0.85
SNP81	0.85
SNP82	0.85
SNP83	0.85
SNP84	0.85
SNP85	0.85
SNP86	0.85
SNP87	0.85
SNP88	0.85
SNP89	0.85
SNP90	0.85
SNP91	0.85
SNP92	0.85
SNP93	0.85
SNP94	0.85
SNP95	0.85
SNP96	0.85
SNP97	0.85
SNP98	0.85
SNP99	0.85
SNP100	0.85
SNP101	0.85
SNP102	0.85
SNP103	0.85
SNP104	0.85
SNP105	0.85
SNP106	0.85
SNP107	0.85
SNP108	0.85
SNP109	0.85
SNP110	0.85
SNP111	0.85
SNP112	0.85
SNP113	0.85
SNP114	0.85
SNP115	0.85
SNP116	0.85
SNP117	0.85
SNP118	0.85
SNP119	0.85
SNP120	0.85
SNP121	0.85
SNP122	0.85
SNP123	0.85
SNP124	0.85
SNP125	0.85
SNP126	0.85
SNP127	0.85
SNP128	0.85
SNP129	0.85
SNP130	0.85
SNP131	0.85
SNP132	0.85
SNP133	0.85
SNP134	0.85
SNP135	0.85
SNP136	0.85
SNP137	0.85
SNP138	0.85
SNP139	0.85
SNP140	0.85
SNP141	0.85
SNP142	0.85
SNP143	0.85
SNP144	0.85
SNP145	0.85
SNP146	0.85
SNP147	0.85
SNP148	0.85
SNP149	0.85
SNP150	0.85
SNP151	0.85
SNP152	0.85
SNP153	0.85
SNP154	0.85
SNP155	0.85
SNP156	0.85
SNP157	0.85
SNP158	0.85
SNP159	0.85
SNP160	0.85
SNP161	0.85
SNP162	0.85
SNP163	0.85
SNP164	0.85
SNP165	0.85
SNP166	0.85
SNP167	0.85
SNP168	0.85
SNP169	0.85
SNP170	0.85
SNP171	0.85
SNP172	0.85
SNP173	0.85
SNP174	0.85
SNP175	0.85
SNP176	0.85
SNP177	0.85
SNP178	0.85
SNP179	0.85
SNP180	0.85
SNP181	0.85
SNP182	0.85
SNP183	0.85
SNP184	0.85
SNP185	0.85
SNP186	0.85
SNP187	0.85
SNP188	0.85
SNP189	0.85
SNP190	0.85
SNP191	0.85
SNP192	0.85
SNP193	0.85
SNP194	0.85
SNP195	0.85
SNP196	0.85
SNP197	0.85
SNP198	0.85
SNP199	0.85
SNP200	0.85
